Time,Weather_Config,Avg Speed,Avg Alignment,Density,Cohesion
1732527846.483294,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-12.759025628729496,0.72,281.5567240247873
1732527846.488157,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-17.503687781821284,0.72,281.497783248072
1732527846.52249,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-22.698654232800678,0.72,281.4464371823946
1732527846.557481,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-21.063797252619693,0.72,281.3931354656762
1732527846.5907352,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-19.915436723634212,0.68,281.3290522016698
1732527846.62529,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-19.26245019035661,0.72,281.25911396330594
1732527846.659557,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-25.86710244941598,0.72,281.2027240337195
1732527846.693504,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-25.252368101667788,0.76,281.1605196294173
1732527846.7272708,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-24.87068258602721,0.76,281.1339524973183
1732527846.7615108,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-24.46233096677518,0.76,281.121512986654
1732527846.79523,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-24.024139081478,0.84,281.121413143524
1732527846.828861,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-38.04449524461126,0.84,281.13032224191846
1732527846.8617358,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-37.464793950449845,0.92,281.14440831202626
1732527846.895423,"(0.5, 0.2, 0.3, 0.1, 15)",1.2250000000000008,-37.326575176729015,0.96,281.16044204945865
1732527846.9288661,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-36.692989239955416,0.96,281.1728672469865
1732527846.96209,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-35.86493825331238,1.0,281.1861880722651
1732527846.996119,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-34.992552271446414,1.0,281.20022530599266
1732527847.030441,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-34.06991272427366,1.04,281.2131375934453
1732527847.064657,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-33.17301429380261,1.04,281.22485996940884
1732527847.098447,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-32.26668214366869,1.08,281.2351347657227
1732527847.1326551,"(0.5, 0.2, 0.3, 0.1, 15)",1.2250000000000008,-31.241110979756126,1.08,281.2439876539046
1732527847.1660612,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-30.346382191414946,1.08,281.25419100338354
1732527847.199415,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-29.55979418999131,1.08,281.267766712593
1732527847.232115,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-28.792465334067664,1.16,281.2844226480239
1732527847.265313,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-28.0588627267729,1.16,281.30408126325545
1732527847.296491,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-27.396347509056465,1.16,281.3274726534109
1732527847.332073,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-26.855009541017512,1.16,281.35617714168427
1732527847.3666718,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-26.461587943173154,1.16,281.3916983322026
1732527847.399061,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-26.12694701658587,1.16,281.4350214678914
1732527847.4309618,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-25.98912735779404,1.2,281.4892405642424
1732527847.4646132,"(0.5, 0.2, 0.3, 0.1, 15)",1.2250000000000008,-25.83215078694786,1.16,281.5497116425179
1732527847.506996,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-25.71996565248562,1.16,281.5769000705937
1732527847.5380921,"(0.5, 0.2, 0.3, 0.1, 15)",1.225000000000001,-25.735266954836916,1.16,281.61507375761585
1732527847.571191,"(0.5, 0.2, 0.3, 0.1, 15)",1.2250000000000008,-25.713483132527987,1.2,281.6409498823065
